full_name,first_name,last_name,height
Daniel MADISON,Daniel,MADISON,171.2477116456345
Herbert DIETZ,Herbert,DIETZ,179.750565915208
Robert HOLMES,Robert,HOLMES,188.19281088877761
John FURTADO,John,FURTADO,157.0348449694983
Jose HARVEL,Jose,HARVEL,191.70978153452518
Dominic ROY,Dominic,ROY,178.55117059406436
Leonardo BEACHAM,Leonardo,BEACHAM,182.14844437405588
Gordon ROBINSON,Gordon,ROBINSON,181.21847454492078
Trevor DANIELS,Trevor,DANIELS,185.55025787948526
Thomas PEREIRA,Thomas,PEREIRA,176.33148776022324
Josiah MAHONEY,Josiah,MAHONEY,181.09664278841524
Brady UNGER,Brady,UNGER,180.85890422339668
Edward SMALL,Edward,SMALL,181.55665297956085
Jordan STOLTZFUS,Jordan,STOLTZFUS,167.21451057203734
John BENNETT,John,BENNETT,189.44931388616908
Cameron BILES,Cameron,BILES,186.55039506088858
James GRADY,James,GRADY,169.3251429358401
William BITONTI,William,BITONTI,183.7685103903297
William GERHOLD,William,GERHOLD,177.3980992635069
Ralph LENTO,Ralph,LENTO,182.82084233040413
Carl LEWIS,Carl,LEWIS,181.5046036290207
Craig ELKINS,Craig,ELKINS,196.44029636443
Landon ARAGON,Landon,ARAGON,177.55706105278884
Carl KIRKENDOLL,Carl,KIRKENDOLL,180.24184992241467
John THOM,John,THOM,184.4173017600317
Everett MOCK,Everett,MOCK,185.08308547174772
Robert CUSHING,Robert,CUSHING,177.5485168286927
Anthony SARDI,Anthony,SARDI,166.86676857698836
Maynard SHIPLEY,Maynard,SHIPLEY,186.73325063487658
Berry NEHRIG,Berry,NEHRIG,163.98214455987863
Bruce COSDEN,Bruce,COSDEN,178.5513031344138
Michael MANGANO,Michael,MANGANO,171.75184421743182
John BURCHETT,John,BURCHETT,171.30225956170707
Joseph SWARTHOUT,Joseph,SWARTHOUT,176.42047028946288
Howard LESLEY,Howard,LESLEY,174.17403567575815
Robert IRVINE,Robert,IRVINE,177.44960184656176
Brian RIGGS,Brian,RIGGS,171.30717100241125
Jose SPITZER,Jose,SPITZER,176.32600385463334
Daniel HERENDEEN,Daniel,HERENDEEN,177.44634524860015
Paul AMON,Paul,AMON,178.3122115302485
Rolland DAGOSTINO,Rolland,DAGOSTINO,183.7646355939374
Joe HUFF,Joe,HUFF,176.91941204884142
Wilbert THOMPSON,Wilbert,THOMPSON,180.51888647853164
Harry MURPHY,Harry,MURPHY,174.15369579404762
James PEARLEY,James,PEARLEY,177.10888331649798
Marion ROGERS,Marion,ROGERS,176.71668065152306
James CARDWELL,James,CARDWELL,186.2656617239909
Edward MACMILLAN,Edward,MACMILLAN,185.25427928424358
Kevin PATTON,Kevin,PATTON,181.32959844743218
Larry EVANS,Larry,EVANS,181.23808871706962
James SAUER,James,SAUER,192.68182018483762
Maynard SMITH,Maynard,SMITH,178.4873746668562
Jorge STAMM,Jorge,STAMM,181.0372809035955
Carl CASTEEL,Carl,CASTEEL,186.17568016954345
Harold RITZ,Harold,RITZ,172.76691826470855
Maxwell CORNELL,Maxwell,CORNELL,183.21937879556418
James GOODALE,James,GOODALE,178.8979993017286
Frank HUGHES,Frank,HUGHES,167.2823893017803
Carl WILSON,Carl,WILSON,183.00062659629077
Randy NOWAKOWSKI,Randy,NOWAKOWSKI,184.2599911399831
Miguel MCKINNIE,Miguel,MCKINNIE,176.12822195901052
Jeremy CHASSE,Jeremy,CHASSE,177.99043606213732
David WILEY,David,WILEY,183.49648330075425
Bradley VALENZUELA,Bradley,VALENZUELA,190.33363989137644
Ernest NUNEMAKER,Ernest,NUNEMAKER,190.0529680731152
Cleveland SPIVA,Cleveland,SPIVA,183.5968989934551
Herbert THELEN,Herbert,THELEN,167.8025073416117
David KELLY,David,KELLY,165.05328083069244
Roy LOPEZ,Roy,LOPEZ,189.0599517665394
Joshua BROWNING,Joshua,BROWNING,192.570168431076
Ryan STEADMAN,Ryan,STEADMAN,171.61182307618924
Armando NUNNELLY,Armando,NUNNELLY,174.16764427134933
Phillip CAREW,Phillip,CAREW,184.83448977791733
Charles WEST,Charles,WEST,191.63697082057735
Sam HENDRICKSON,Sam,HENDRICKSON,174.40469533897755
Merlin SPIROS,Merlin,SPIROS,185.43284236246274
Herbert MINKIN,Herbert,MINKIN,181.82427883403702
Samuel FRANCIS,Samuel,FRANCIS,162.34003716383344
Edward JACOBS,Edward,JACOBS,176.21726265704064
Lee COOMBS,Lee,COOMBS,176.14394914733148
Floyd ZUPANCIC,Floyd,ZUPANCIC,173.95238367077908
Frank OWENS,Frank,OWENS,170.11526577192387
James KOSTECKI,James,KOSTECKI,184.3896310964076
Boyd DEPUE,Boyd,DEPUE,170.62964423608793
Eric LYNCH,Eric,LYNCH,189.1769542815368
Christopher ROYSTON,Christopher,ROYSTON,178.16319650276895
Joseph KRIDER,Joseph,KRIDER,181.17800954146225
Andrew BLAU,Andrew,BLAU,166.02254943251023
Tyler SOLIMAN,Tyler,SOLIMAN,161.72030602719826
Eugene KEHOE,Eugene,KEHOE,174.03011758322094
Gaylord LOUCKS,Gaylord,LOUCKS,186.6004927387713
Alex COOPER,Alex,COOPER,184.13382599549269
Neil STEWART,Neil,STEWART,176.03543058276637
Matthew CASTERLIN,Matthew,CASTERLIN,169.73833177499398
Stephen RYAN,Stephen,RYAN,175.0119469068371
Chandler GARNER,Chandler,GARNER,168.43407471872803
Ryan ROSALES,Ryan,ROSALES,180.54844551249295
Raymond HOUSDEN,Raymond,HOUSDEN,161.200563484116
Roy ELLIS,Roy,ELLIS,167.74410784327645
Clarence ALLEN,Clarence,ALLEN,190.2319742111119
Terrell ZEMKE,Terrell,ZEMKE,173.42099897565004
James MCCOY,James,MCCOY,177.12585307804656
Bud PIERCE,Bud,PIERCE,186.3257765746119
Ernest MOOREHEAD,Ernest,MOOREHEAD,180.52592628676157
William DANIEL,William,DANIEL,181.9954098031604
Francis WEBB,Francis,WEBB,162.28801432767267
Anthony PETRUZZI,Anthony,PETRUZZI,167.8962932379785
Timothy PEREZ,Timothy,PEREZ,188.62920549161043
John MUTHANA,John,MUTHANA,164.38569508507
Elbert NOLTE,Elbert,NOLTE,171.617300999458
Oscar BURGESS,Oscar,BURGESS,180.9288456610506
Jayden DEER,Jayden,DEER,169.67431713428985
Lester BENNETT,Lester,BENNETT,180.9606801508567
Mike AMBROSE,Mike,AMBROSE,177.74783344843624
Pedro SUTTON,Pedro,SUTTON,185.29778358077527
Eugene WILLIAMS,Eugene,WILLIAMS,173.33481490831988
Urban BEARD,Urban,BEARD,184.78622402182737
Robert BERTACCHI,Robert,BERTACCHI,191.21301250738767
Robert WHITE,Robert,WHITE,174.13719101603243
Robert SCHWARTZ,Robert,SCHWARTZ,172.0391480167302
James QUINN,James,QUINN,185.05664888346323
Drew CASTILLE,Drew,CASTILLE,180.4269556222566
John BELL,John,BELL,181.9207810402724
Norbert SIMMONS,Norbert,SIMMONS,174.52194033885368
Gregory ENGLISH,Gregory,ENGLISH,186.6337318510652
Roderick GONZALES,Roderick,GONZALES,178.6308025973786
